source,target,weight
IRAK2 , P68467,1
TRAF6 , P68467,1
DDX3X , P68467,1
TRAF6 , Q8V2D1,1
CCDC14 , Q777C3,1
CTSC , Q777C3,1
MAPK7 , Q777C3,1
RPL4 , P12977,1
NR4A1 , P12977,1
CSNK2B , P26662,1
PPARG , P26662,1
HIST1H2AI , Q9DUM3,1
STAT3 , Q9DUM3,1
HAX1 , O12160,1
HNRNPK , Q8V1E7,1
CDK1 , Q8AZK7,1
KHDRBS1 , Q8AZK7,1
SF3B2 , Q8AZK7,1
MAGED1 , Q8AZK7,1
HNRNPK , Q8AZK7,1
PSMA3 , Q8AZK7,1
RCN2 , Q8AZK7,1
UBC , Q8AZK7,1
HNRNPA2B1 , Q8AZK7,1
HSPA8 , Q8AZK7,1
SET , Q8AZK7,1
AKAP8L , Q8AZK7,1
ALDH1B1 , Q8AZK7,1
HNRNPD , Q8AZK7,1
HNRNPM , Q8AZK7,1
HNRNPR , Q8AZK7,1
HNRNPU , Q8AZK7,1
GCN1L1 , Q8AZK7,1
HSPB1 , Q8AZK7,1
HSPD1 , Q8AZK7,1
IARS , Q8AZK7,1
GBAS , Q8AZK7,1
HSPA1A , Q8AZK7,1
XPOT , Q8AZK7,1
WDR77 , Q8AZK7,1
FLNC , Q8AZK7,1
BAG2 , Q8AZK7,1
UBR5 , Q8AZK7,1
TUBB , Q8AZK7,1
TUBA1B , Q8AZK7,1
TNNT3 , Q8AZK7,1
CAD , Q8AZK7,1
TIMM50 , Q8AZK7,1
CAPZA1 , Q8AZK7,1
GLUD1 , Q8AZK7,1
SSBP1 , Q8AZK7,1
SNRPD2 , Q8AZK7,1
SNRPB2 , Q8AZK7,1
SNRPA , Q8AZK7,1
SNRNP200 , Q8AZK7,1
HNRNPCL1 , Q8AZK7,1
LDHB , Q8AZK7,1
SLC25A6 , Q8AZK7,1
HIST1H1D , Q8AZK7,1
SFPQ , Q8AZK7,1
HNRNPAB , Q8AZK7,1
SERBP1 , Q8AZK7,1
LRPPRC , Q8AZK7,1
SEC16A , Q8AZK7,1
SEC13 , Q8AZK7,1
RUVBL2 , Q8AZK7,1
RSL1D1 , Q8AZK7,1
RPS9 , Q8AZK7,1
RPS8 , Q8AZK7,1
HNRNPA0 , Q8AZK7,1
RPS6 , Q8AZK7,1
RPS3A , Q8AZK7,1
RPS23 , Q8AZK7,1
RPS2 , Q8AZK7,1
RPS18 , Q8AZK7,1
RPS17 , Q8AZK7,1
RPS16 , Q8AZK7,1
RPS13 , Q8AZK7,1
RPL9 , Q8AZK7,1
RPL8 , Q8AZK7,1
RPL7A , Q8AZK7,1
RPL7 , Q8AZK7,1
RPL31 , Q8AZK7,1
HIST1H2BD , Q8AZK7,1
RPL23 , Q8AZK7,1
RPL22 , Q8AZK7,1
RPL18 , Q8AZK7,1
RPL17-C18orf32 , Q8AZK7,1
RPL13 , Q8AZK7,1
RPL12 , Q8AZK7,1
RPL10 , Q8AZK7,1
MLF2 , Q8AZK7,1
EPRS , Q8AZK7,1
RFC3 , Q8AZK7,1
GRPEL1 , Q8AZK7,1
CLPX , Q8AZK7,1
RCN1 , Q8AZK7,1
CLTC , Q8AZK7,1
CSE1L , Q8AZK7,1
EIF3B , Q8AZK7,1
QARS , Q8AZK7,1
PTBP1 , Q8AZK7,1
PSMD2 , Q8AZK7,1
HSPA5 , Q8AZK7,1
PSMC2 , Q8AZK7,1
PSMB6 , Q8AZK7,1
PRPF8 , Q8AZK7,1
DARS , Q8AZK7,1
ILF3 , Q8AZK7,1
NCL , Q8AZK7,1
DDX17 , Q8AZK7,1
DDX5 , Q8AZK7,1
DHX9 , Q8AZK7,1
PCCB , Q8AZK7,1
PCCA , Q8AZK7,1
PCBP2 , Q8AZK7,1
H1FX , Q8AZK7,1
P4HA2 , Q8AZK7,1
DNAJB1 , Q8AZK7,1
NUP93 , Q8AZK7,1
DNAJB5 , Q8AZK7,1
NIPSNAP1 , Q8AZK7,1
DNAJB6 , Q8AZK7,1
NONO , Q8AZK7,1
RUVBL1 , Q8AZK7,1
SYNCRIP , Q8AZK7,1
XRCC5 , Q8AZK7,1
SF3B1 , Q8AZK7,1
RAD50 , Q8AZK7,1
HNRNPA1 , Q8AZK7,1
HAX1 , Q8AZK7,1
IQGAP2 , Q8AZK7,1
SRSF1 , Q8AZK7,1
IQGAP2 , P13288,1
HNRNPA2B1 , P68318,1
RBM3 , P68318,1
HNRNPA2B1 , P07242,1
SOCS1 , P05888,1
TUBA3D , P05888,1
UBC , P05888,1
UBC , P04325,1
EZR , P03485,1
HSPA8 , P03485,1
NPM1 , P68951,1
SET , P68951,1
NPM1 , P24938,1
MAP2K7 , P20505,1
MAPK8IP1 , P20505,1
JUN , P20505,1
PURA , P03072,1
UBE2I , P03114,1
TRIP13 , P03114,1
POLA1 , P10193,1
SUMO1 , P59595,1
HNRNPA1 , P59595,1
SMARCB1 , P03116,1
PIAS1 , P03116,1
PIAS2 , P03116,1
SUMO1 , P03116,1
RANBP2 , P03116,1
SUMO2 , P03116,1
RPA1 , P03116,1
UBE2I , P03116,1
SMARCB1 , P04014,1
PIAS1 , P04014,1
PIAS2 , P04014,1
SUMO1 , P04014,1
POLA1 , P04014,1
H1F0 , P04014,1
SMARCB1 , P06789,1
CCNT1 , P04326,1
KAT5 , P04326,1
SUB1 , P04326,1
SMARCA2 , P04326,1
CDK9 , P04326,1
SMARCB1 , P04326,1
EP300 , P04326,1
SMARCC2 , P04326,1
SMARCC1 , P04326,1
CCNT1 , O12161,1
EP300 , O12161,1
KAT2B , O12161,1
TP73 , O12161,1
KAT2B , P03119,1
KAT2B , P04015,1
SMN1 , P04015,1
BRD4 , P04015,1
BRD4 , P11298,1
BRD4 , P17383,1
BRD4 , P03121,1
KAT2B , P03120,1
